,,,,,,,,,,,,Frequency,vm(vout),ph(v(vout))
Frequency (Hz),Channel 1 Magnitude (V),Channel 2 Magnitude (V),Channel 2 Phase (deg),,,,,Frequency,vm(vout),ph(v(vout)),,Hz,Volts,deg
154.8816619,0.100257985,0.149213936,-5.488234969,,,,,,,,,154.8816619,0.149213936,-5.488234969
158.4893192,0.10027077,0.149155,-5.609652747,,,,,,,,,158.4893192,0.149155,-5.609652747
162.1810097,0.100302886,0.149116168,-5.744977585,,,,,,,,,162.1810097,0.149116168,-5.744977585
165.9586907,0.100262104,0.149121709,-5.896206058,,,,,,,,,165.9586907,0.149121709,-5.896206058
169.8243652,0.100284919,0.1490554,-6.020029409,,,,,,,,,169.8243652,0.1490554,-6.020029409
173.7800829,0.10026204,0.149028837,-6.164466032,,,,,,,,,173.7800829,0.149028837,-6.164466032
177.827941,0.100265192,0.149014009,-6.30266605,,,,,,,,,177.827941,0.149014009,-6.30266605
181.9700859,0.100282027,0.148921588,-6.433828522,,,,,,,,,181.9700859,0.148921588,-6.433828522
186.2087137,0.10025716,0.148906365,-6.586204994,,,,,,,,,186.2087137,0.148906365,-6.586204994
190.5460718,0.100274382,0.148850865,-6.755451726,,,,,,,,,190.5460718,0.148850865,-6.755451726
194.98446,0.100249544,0.148856164,-6.87337663,,,,,,,,,194.98446,0.148856164,-6.87337663
199.5262315,0.100277214,0.148734089,-7.066587435,,,,,,,,,199.5262315,0.148734089,-7.066587435
204.1737945,0.100278675,0.148711237,-7.222529798,,,,,,,,,204.1737945,0.148711237,-7.222529798
208.9296131,0.100272747,0.148609497,-7.388137391,,,,,,,,,208.9296131,0.148609497,-7.388137391
213.796209,0.100285816,0.14858004,-7.558661974,,,,,,,,,213.796209,0.14858004,-7.558661974
218.7761624,0.100254097,0.148527691,-7.729440227,,,,,,,,,218.7761624,0.148527691,-7.729440227
223.8721139,0.100285882,0.148439517,-7.910444083,,,,,,,,,223.8721139,0.148439517,-7.910444083
229.0867653,0.100277349,0.148389851,-8.088787581,,,,,,,,,229.0867653,0.148389851,-8.088787581
234.4228815,0.100275251,0.148313342,-8.272042568,,,,,,,,,234.4228815,0.148313342,-8.272042568
239.8832919,0.100183925,0.148369388,-8.422330974,,,,,,,,,239.8832919,0.148369388,-8.422330974
245.4708916,0.100283131,0.148144116,-8.656080869,,,,,,,,,245.4708916,0.148144116,-8.656080869
251.1886432,0.100289875,0.148048397,-8.853868456,,,,,,,,,251.1886432,0.148048397,-8.853868456
257.0395783,0.100368858,0.147861745,-9.014970347,,,,,,,,,257.0395783,0.147861745,-9.014970347
263.0267992,0.100274383,0.14788773,-9.262804581,,,,,,,,,263.0267992,0.14788773,-9.262804581
269.1534804,0.100330845,0.147719966,-9.516075508,,,,,,,,,269.1534804,0.147719966,-9.516075508
275.4228703,0.100267388,0.147739213,-9.685859919,,,,,,,,,275.4228703,0.147739213,-9.685859919
281.8382931,0.10028607,0.147602791,-9.90466527,,,,,,,,,281.8382931,0.147602791,-9.90466527
288.4031503,0.100273178,0.147499815,-10.12810709,,,,,,,,,288.4031503,0.147499815,-10.12810709
295.1209227,0.100262933,0.147414644,-10.37364505,,,,,,,,,295.1209227,0.147414644,-10.37364505
301.995172,0.100294867,0.147260844,-10.59291517,,,,,,,,,301.995172,0.147260844,-10.59291517
309.0295433,0.100258544,0.147158253,-10.84273567,,,,,,,,,309.0295433,0.147158253,-10.84273567
316.227766,0.100257145,0.147068055,-11.09043874,,,,,,,,,316.227766,0.147068055,-11.09043874
323.5936569,0.100263127,0.146911408,-11.33744968,,,,,,,,,323.5936569,0.146911408,-11.33744968
331.1311215,0.100273697,0.146776432,-11.59480431,,,,,,,,,331.1311215,0.146776432,-11.59480431
338.8441561,0.100259471,0.146684055,-11.86042153,,,,,,,,,338.8441561,0.146684055,-11.86042153
346.7368505,0.100259476,0.146484084,-12.13646113,,,,,,,,,346.7368505,0.146484084,-12.13646113
354.8133892,0.10029407,0.146291093,-12.38716599,,,,,,,,,354.8133892,0.146291093,-12.38716599
