time	V(vo)
1.274983116691075e-004	5.638269e-001
1.275393558568530e-004	5.452325e-001
1.275796832340805e-004	5.169542e-001
1.276222590065473e-004	4.819220e-001
1.276459049336048e-004	4.777889e-001
1.276571531499676e-004	5.028210e-001
1.276643888264523e-004	5.512782e-001
1.276730825643094e-004	6.527080e-001
1.276828286039810e-004	8.003523e-001
1.276931457122794e-004	9.621477e-001
1.277049247567863e-004	1.116881e+000
1.277149720597206e-004	1.208609e+000
1.277256108900404e-004	1.272165e+000
1.277374672850790e-004	1.329980e+000
1.277503114921318e-004	1.392242e+000
1.277558511015113e-004	1.416541e+000
1.277617947358209e-004	1.436138e+000
1.277672040060474e-004	1.448451e+000
1.277728145236041e-004	1.457204e+000
1.277792387516177e-004	1.464229e+000
1.277868764402760e-004	1.469978e+000
1.277966470205331e-004	1.474818e+000
1.278078603100079e-004	1.478172e+000
1.278232532610414e-004	1.480582e+000
1.278387250373215e-004	1.481458e+000
1.278606091949838e-004	1.481170e+000
1.278806240256751e-004	1.479998e+000
1.279031103560501e-004	1.477946e+000
1.279275648612099e-004	1.475182e+000
1.279605894515550e-004	1.470976e+000
1.279921430830708e-004	1.466745e+000
1.280426948343346e-004	1.459966e+000
1.280888997376975e-004	1.454119e+000
1.281724338617034e-004	1.444518e+000
1.282479158819796e-004	1.436922e+000
1.283924545659438e-004	1.424327e+000
1.285371369389924e-004	1.413052e+000
1.287963801979609e-004	1.394273e+000
1.290497436989059e-004	1.376418e+000
1.295120132334877e-004	1.344287e+000
1.302229683312598e-004	1.295561e+000
1.316448785268042e-004	1.200836e+000
1.344886989178929e-004	1.018712e+000
1.366477137836258e-004	8.870705e-001
1.391235890008897e-004	7.421294e-001
1.394078892392496e-004	7.256506e-001
1.399764897159695e-004	6.922675e-001
1.404405930462038e-004	6.643283e-001
1.405398472902760e-004	6.580901e-001
1.407383557784205e-004	6.447172e-001
1.410376866483199e-004	6.230984e-001
1.410833951618389e-004	6.193998e-001
1.411748121888770e-004	6.107289e-001
1.413010196161147e-004	5.962574e-001
1.413745283758041e-004	5.850600e-001
1.414217394169008e-004	5.746655e-001
1.414675207189236e-004	5.595950e-001
1.415081002874596e-004	5.387805e-001
1.415487774867735e-004	5.100009e-001
1.415970727274052e-004	4.831716e-001
1.416130196384011e-004	5.011916e-001
1.416218275433797e-004	5.459212e-001
1.416295476460513e-004	6.241654e-001
1.416397968218825e-004	7.684351e-001
1.416498600606013e-004	9.210622e-001
1.416622151501315e-004	1.083704e+000
1.416732632128915e-004	1.186612e+000
1.416841669516982e-004	1.252578e+000
1.416964712295803e-004	1.311836e+000
1.417093335063089e-004	1.373233e+000
1.417149399585646e-004	1.397721e+000
1.417208014339211e-004	1.417216e+000
1.417263681740043e-004	1.430040e+000
1.417321274057838e-004	1.439133e+000
1.417385281662916e-004	1.446196e+000
1.417461497819367e-004	1.451966e+000
1.417564210649481e-004	1.457082e+000
1.417674398174488e-004	1.460402e+000
1.417829934684959e-004	1.462851e+000
1.417985422030738e-004	1.463756e+000
1.418207548175074e-004	1.463500e+000
1.418408873698286e-004	1.462362e+000
1.418638889102877e-004	1.460322e+000
1.418885612564421e-004	1.457612e+000
1.419228392897743e-004	1.453371e+000
1.419555548686419e-004	1.449116e+000
1.420078819635702e-004	1.442326e+000
1.420564799959020e-004	1.436388e+000
1.421437149630871e-004	1.426731e+000
1.422239532640248e-004	1.418951e+000
1.423773976748873e-004	1.406010e+000
1.425345071141352e-004	1.394043e+000
1.427965834204061e-004	1.375290e+000
1.430675928370832e-004	1.356331e+000
1.435526033937843e-004	1.322831e+000
1.443787832848020e-004	1.266687e+000
1.460311430668372e-004	1.157468e+000
1.483116658217456e-004	1.012469e+000
1.504876216824845e-004	8.804909e-001
1.529222062075247e-004	7.381171e-001
1.531933942147885e-004	7.223970e-001
1.537357702293161e-004	6.904786e-001
1.542035126253714e-004	6.621802e-001
1.543114097167086e-004	6.553314e-001
1.545272038993830e-004	6.406232e-001
1.547737992561044e-004	6.225290e-001
1.548209394361534e-004	6.186427e-001
1.549152197962514e-004	6.095824e-001
1.550305567818060e-004	5.962387e-001
1.550992020061072e-004	5.857185e-001
1.551496603217438e-004	5.747156e-001
1.551933714558771e-004	5.605735e-001
1.552332774491115e-004	5.405693e-001
1.552736255915415e-004	5.117839e-001
1.553221588553817e-004	4.805900e-001
1.553388157025220e-004	4.938596e-001
1.553479897041355e-004	5.342003e-001
1.553554029740973e-004	6.043278e-001
1.553658956916016e-004	7.486879e-001
1.553763208171911e-004	9.082727e-001
1.553884671452090e-004	1.072366e+000
1.554008617113659e-004	1.191111e+000
1.554120850394061e-004	1.260511e+000
1.554245777514464e-004	1.321011e+000
1.554374192123449e-004	1.382474e+000
1.554429757847094e-004	1.406229e+000
1.554491981835961e-004	1.425956e+000
1.554544926500097e-004	1.437538e+000
1.554600168278791e-004	1.445832e+000
1.554665983487423e-004	1.452796e+000
1.554744131401810e-004	1.458523e+000
1.554836654678779e-004	1.462995e+000
1.554953311012390e-004	1.466393e+000
1.555111147126522e-004	1.468805e+000
1.555265529681265e-004	1.469658e+000
1.555465152334899e-004	1.469411e+000
1.555673646596631e-004	1.468226e+000
1.555906047584589e-004	1.466167e+000
1.556146184065952e-004	1.463510e+000
1.556503535944599e-004	1.459045e+000
1.556836094416035e-004	1.454681e+000
1.557387791247032e-004	1.447472e+000
1.557895540952636e-004	1.441266e+000
1.558831407778499e-004	1.430990e+000
1.559690490926701e-004	1.422788e+000
1.561386186209489e-004	1.408746e+000
1.563026085898749e-004	1.396411e+000
1.565799788093444e-004	1.376673e+000
1.568680780338727e-004	1.356546e+000
1.574072875174620e-004	1.319353e+000
1.584063669563780e-004	1.251760e+000
1.604045258342101e-004	1.120489e+000
1.623833675565341e-004	9.955963e-001
1.645176505743008e-004	8.670072e-001
1.669242062183217e-004	7.250816e-001
1.683584592096276e-004	6.387523e-001
1.683810005139215e-004	6.372596e-001
1.684260831225093e-004	6.339988e-001
1.685162483396849e-004	6.270124e-001
1.686965787740359e-004	6.113214e-001
1.688004436645234e-004	6.004621e-001
1.688639117123770e-004	5.917171e-001
1.689331561326592e-004	5.786590e-001
1.689796790800855e-004	5.657587e-001
1.690201083576167e-004	5.483291e-001
1.690596002985944e-004	5.219269e-001
1.691012574932605e-004	4.901455e-001
1.691324964230857e-004	4.880996e-001
1.691453516818913e-004	5.218983e-001
1.691527043299907e-004	5.780314e-001
1.691622406777717e-004	6.978320e-001
1.691724560106588e-004	8.511549e-001
1.691861156312313e-004	1.042732e+000
1.691991165325911e-004	1.176949e+000
1.692100157592320e-004	1.248732e+000
1.692231289198172e-004	1.313095e+000
1.692354022505177e-004	1.372081e+000
1.692411143370661e-004	1.397940e+000
1.692465996703283e-004	1.417347e+000
1.692531337170514e-004	1.433340e+000
1.692588406753407e-004	1.442841e+000
1.692650661495910e-004	1.449941e+000
1.692724493455539e-004	1.455743e+000
1.692825489719165e-004	1.460995e+000
1.692934692311620e-004	1.464469e+000
1.693083152986785e-004	1.466980e+000
1.693240878889513e-004	1.468027e+000
1.693450036889842e-004	1.467909e+000
1.693657652520310e-004	1.466784e+000
1.693923898208337e-004	1.464438e+000
1.694163639882977e-004	1.461797e+000
1.694456230723105e-004	1.458161e+000
1.694733064281729e-004	1.454532e+000
1.695118728087640e-004	1.449424e+000
1.695470958307610e-004	1.444892e+000
1.695983313743373e-004	1.438664e+000
1.696482031776609e-004	1.433089e+000
1.697258756019374e-004	1.425239e+000
1.698013525920778e-004	1.418416e+000
1.699396778469748e-004	1.407174e+000
1.700722729820375e-004	1.397208e+000
1.703240816533317e-004	1.379215e+000
